subject_id,id_geno,STG,CH,B,hour,Drug,geno,PSD,RELPSD
118160,118160_A,NR,EEG1,BETA,6,Baseline,A,30.15825304490651,0.09850281041272267
118160,118160_A,NR,EEG1,BETA,6,Vehicle,A,30.111811179718632,0.09537922625985758
118160,118160_A,NR,EEG1,DELTA,1,10mpk,A,35.009787211981546,0.3430226321995963
118160,118160_A,NR,EEG1,DELTA,1,30mpk,A,33.65022520311203,0.30616880791727263
118160,118160_A,NR,EEG1,DELTA,1,3mpk,A,35.20957974956702,0.3537299722290742
118160,118160_A,NR,EEG1,DELTA,1,Baseline,A,34.79650063103315,0.31732586251570705
118160,118160_A,NR,EEG1,DELTA,1,Vehicle,A,34.45914753738367,0.30432012572547934
118160,118160_A,NR,EEG1,DELTA,2,10mpk,A,35.33931428320869,0.3280265293667523
118160,118160_A,NR,EEG1,DELTA,2,30mpk,A,34.724686425053605,0.32922523972507695
118160,118160_A,NR,EEG1,DELTA,2,3mpk,A,34.88376941489771,0.3287227774881539
118160,118160_A,NR,EEG1,DELTA,2,Baseline,A,34.26337799198808,0.28566362311320437
118160,118160_A,NR,EEG1,DELTA,2,Vehicle,A,36.483726661777794,0.38287840087279645
118160,118160_A,NR,EEG1,DELTA,3,10mpk,A,34.753712443707634,0.3021938927883638
118160,118160_A,NR,EEG1,DELTA,3,30mpk,A,34.48776848471687,0.31684760362326614
118160,118160_A,NR,EEG1,DELTA,3,3mpk,A,34.656714702297016,0.30536829935535176
118160,118160_A,NR,EEG1,DELTA,3,Baseline,A,34.525980272036755,0.2943506157959014
118160,118160_A,NR,EEG1,DELTA,3,Vehicle,A,35.70657592532255,0.3545554300924357
118160,118160_A,NR,EEG1,DELTA,4,10mpk,A,34.54846648260945,0.29282322781913994
118160,118160_A,NR,EEG1,DELTA,4,30mpk,A,34.12226091859186,0.30646091520705687
118160,118160_A,NR,EEG1,DELTA,4,3mpk,A,34.57784286441364,0.30332030072584504
118160,118160_A,NR,EEG1,DELTA,4,Baseline,A,34.692238574786174,0.3022944167875071
118160,118160_A,NR,EEG1,DELTA,4,Vehicle,A,34.990998385396644,0.3292948816044128
118160,118160_A,NR,EEG1,DELTA,5,10mpk,A,34.57898964942588,0.2918579055742986
118160,118160_A,NR,EEG1,DELTA,5,30mpk,A,34.11466258508221,0.29773391278894884
118160,118160_A,NR,EEG1,DELTA,5,3mpk,A,34.91753036589413,0.30014726640789546
118160,118160_A,NR,EEG1,DELTA,5,Baseline,A,34.356372643755535,0.27976036320788455
118160,118160_A,NR,EEG1,DELTA,5,Vehicle,A,34.73257104895838,0.3125765124214263
118160,118160_A,NR,EEG1,DELTA,6,10mpk,A,34.88590065985604,0.3016221433661929
118160,118160_A,NR,EEG1,DELTA,6,30mpk,A,34.064810243614964,0.2883225683207613
118160,118160_A,NR,EEG1,DELTA,6,3mpk,A,35.06928936777409,0.29533407942091583
118160,118160_A,NR,EEG1,DELTA,6,Baseline,A,35.03558048489259,0.30662390949557566
118160,118160_A,NR,EEG1,DELTA,6,Vehicle,A,35.01057869225785,0.29764306470103946
118160,118160_A,NR,EEG1,GAMMA,1,10mpk,A,25.894233658687927,0.04181315586869601
118160,118160_A,NR,EEG1,GAMMA,1,30mpk,A,25.329215183136156,0.04455840519554717
118160,118160_A,NR,EEG1,GAMMA,1,3mpk,A,25.691123575514567,0.03954910669007096
118160,118160_A,NR,EEG1,GAMMA,1,Baseline,A,26.42148024185738,0.04557531727601446
118160,118160_A,NR,EEG1,GAMMA,1,Vehicle,A,25.95576782458227,0.04316571484357161
118160,118160_A,NR,EEG1,GAMMA,2,10mpk,A,26.33028273450396,0.04089757195858195
118160,118160_A,NR,EEG1,GAMMA,2,30mpk,A,25.926833290569093,0.043044917003857264
118160,118160_A,NR,EEG1,GAMMA,2,3mpk,A,25.989596672483334,0.04183857856695396
118160,118160_A,NR,EEG1,GAMMA,2,Baseline,A,26.37024919458951,0.04528019744283029
118160,118160_A,NR,EEG1,GAMMA,2,Vehicle,A,26.31294684469269,0.03683621052890306
118160,118160_A,NR,EEG1,GAMMA,3,10mpk,A,26.311723472236025,0.04261706132617188
118160,118160_A,NR,EEG1,GAMMA,3,30mpk,A,25.88949971347651,0.04353490490304656
118160,118160_A,NR,EEG1,GAMMA,3,3mpk,A,26.16754505868908,0.043017724689852176
118160,118160_A,NR,EEG1,GAMMA,3,Baseline,A,26.438627862312504,0.04510867969877122
118160,118160_A,NR,EEG1,GAMMA,3,Vehicle,A,26.1720676863748,0.039189787997182694
118160,118160_A,NR,EEG1,GAMMA,4,10mpk,A,26.2286285580176,0.0426671263627716
118160,118160_A,NR,EEG1,GAMMA,4,30mpk,A,25.761900963141052,0.04418635948941631
118160,118160_A,NR,EEG1,GAMMA,4,3mpk,A,26.151497910270557,0.043032707539383534
118160,118160_A,NR,EEG1,GAMMA,4,Baseline,A,26.51994466931073,0.045074395768648946
118160,118160_A,NR,EEG1,GAMMA,4,Vehicle,A,25.9394824210811,0.04064110270411988
118160,118160_A,NR,EEG1,GAMMA,5,10mpk,A,26.49611253231943,0.04452478668533325
118160,118160_A,NR,EEG1,GAMMA,5,30mpk,A,25.952353687123168,0.04492223546696882
118160,118160_A,NR,EEG1,GAMMA,5,3mpk,A,26.68947745381625,0.04483061435470744
118160,118160_A,NR,EEG1,GAMMA,5,Baseline,A,26.652939074203857,0.04685017034496396
118160,118160_A,NR,EEG1,GAMMA,5,Vehicle,A,26.051789977099645,0.042036771943211045
118160,118160_A,NR,EEG1,GAMMA,6,10mpk,A,26.785835734116674,0.046175580470258014
118160,118160_A,NR,EEG1,GAMMA,6,30mpk,A,26.290460518971184,0.047327657506976345
118160,118160_A,NR,EEG1,GAMMA,6,3mpk,A,26.95062235920891,0.04463260530148972
118160,118160_A,NR,EEG1,GAMMA,6,Baseline,A,27.033868846234885,0.0480426638249443
118160,118160_A,NR,EEG1,GAMMA,6,Vehicle,A,26.70917033024187,0.04355541951834072
118160,118160_A,NR,EEG1,SIGMA,1,10mpk,A,26.105022735623116,0.04462993329422368
118160,118160_A,NR,EEG1,SIGMA,1,30mpk,A,25.721817156660467,0.04920160386184049
118160,118160_A,NR,EEG1,SIGMA,1,3mpk,A,26.321373517150487,0.04650289448580933
118160,118160_A,NR,EEG1,SIGMA,1,Baseline,A,27.432428157790916,0.05862674217142967
118160,118160_A,NR,EEG1,SIGMA,1,Vehicle,A,25.550959929049544,0.03983558604274934
118160,118160_A,NR,EEG1,SIGMA,2,10mpk,A,27.358298266992758,0.05305613367231711
118160,118160_A,NR,EEG1,SIGMA,2,30mpk,A,26.70379781428506,0.052955053512488914
118160,118160_A,NR,EEG1,SIGMA,2,3mpk,A,26.967860935878246,0.053813890490350236
118160,118160_A,NR,EEG1,SIGMA,2,Baseline,A,27.79377632505091,0.06422667218686902
118160,118160_A,NR,EEG1,SIGMA,2,Vehicle,A,26.753507831735202,0.04157827830979087
118160,118160_A,NR,EEG1,SIGMA,3,10mpk,A,27.400686568449746,0.05602821107634227
118160,118160_A,NR,EEG1,SIGMA,3,30mpk,A,26.926049998073445,0.05692249352483453
118160,118160_A,NR,EEG1,SIGMA,3,3mpk,A,27.546904936251448,0.060427723886039036
118160,118160_A,NR,EEG1,SIGMA,3,Baseline,A,27.956704414459793,0.0661381974168759
118160,118160_A,NR,EEG1,SIGMA,3,Vehicle,A,27.176660032021292,0.050975209646585105
118160,118160_A,NR,EEG1,SIGMA,4,10mpk,A,27.682146760426587,0.060715336305079665
118160,118160_A,NR,EEG1,SIGMA,4,30mpk,A,26.930553061392313,0.058898367834876945
118160,118160_A,NR,EEG1,SIGMA,4,3mpk,A,27.598686061115693,0.06170965179843526
118160,118160_A,NR,EEG1,SIGMA,4,Baseline,A,28.05707880964337,0.0656320863048785
118160,118160_A,NR,EEG1,SIGMA,4,Vehicle,A,27.018092926197472,0.05329651642409509
118160,118160_A,NR,EEG1,SIGMA,5,10mpk,A,27.945276233671205,0.06362662599875148
118160,118160_A,NR,EEG1,SIGMA,5,30mpk,A,27.25111088544046,0.06178029990214688
118160,118160_A,NR,EEG1,SIGMA,5,3mpk,A,27.868778441587146,0.05985497193440497
118160,118160_A,NR,EEG1,SIGMA,5,Baseline,A,27.94725964640076,0.06426006780419347
118160,118160_A,NR,EEG1,SIGMA,5,Vehicle,A,27.191043144537236,0.055785617742922344
118160,118160_A,NR,EEG1,SIGMA,6,10mpk,A,28.069162704916877,0.06335602325554464
118160,118160_A,NR,EEG1,SIGMA,6,30mpk,A,27.518903892976354,0.06392198337391443
118160,118160_A,NR,EEG1,SIGMA,6,3mpk,A,28.484389351911293,0.06489101421571691
118160,118160_A,NR,EEG1,SIGMA,6,Baseline,A,27.785054512593888,0.05844734187708261
118160,118160_A,NR,EEG1,SIGMA,6,Vehicle,A,28.142517850802626,0.061716728674489206
118160,118160_A,NR,EEG1,SLOW,1,10mpk,A,19.713309647152336,0.011154966936109853
118160,118160_A,NR,EEG1,SLOW,1,30mpk,A,18.149096762682106,0.009553534557286029
118160,118160_A,NR,EEG1,SLOW,1,3mpk,A,20.14707535421499,0.012134506911440877
118160,118160_A,NR,EEG1,SLOW,1,Baseline,A,19.649633861691836,0.010740304793954273
118160,118160_A,NR,EEG1,SLOW,1,Vehicle,A,20.279479751697792,0.012582186482259054
118160,118160_A,NR,EEG1,SLOW,2,10mpk,A,19.80380292592608,0.010180171342737894
118160,118160_A,NR,EEG1,SLOW,2,30mpk,A,19.687693277822373,0.011540560147039873
118160,118160_A,NR,EEG1,SLOW,2,3mpk,A,19.939510523505938,0.011881003196229518
118160,118160_A,NR,EEG1,SLOW,2,Baseline,A,19.33343356663218,0.010571215625585079
118160,118160_A,NR,EEG1,SLOW,2,Vehicle,A,21.45124281549868,0.013771497860864701
118160,118160_A,NR,EEG1,SLOW,3,10mpk,A,19.310420127083145,0.009682845669121467
118160,118160_A,NR,EEG1,SLOW,3,30mpk,A,19.619927556173387,0.01152345616354248
118160,118160_A,NR,EEG1,SLOW,3,3mpk,A,19.62017530057741,0.010704919478688311
118160,118160_A,NR,EEG1,SLOW,3,Baseline,A,19.566375451494064,0.010631028556653948
118160,118160_A,NR,EEG1,SLOW,3,Vehicle,A,20.32500139392733,0.012138458156632649
118160,118160_A,NR,EEG1,SLOW,4,10mpk,A,19.317826897509647,0.009921737420274737
118160,118160_A,NR,EEG1,SLOW,4,30mpk,A,19.029754020127044,0.010754364407434354
118160,118160_A,NR,EEG1,SLOW,4,3mpk,A,19.56441994633389,0.010469705639749633
118160,118160_A,NR,EEG1,SLOW,4,Baseline,A,19.467722358151512,0.010000089100251115
118160,118160_A,NR,EEG1,SLOW,4,Vehicle,A,19.98110429891099,0.01193108755561283
118160,118160_A,NR,EEG1,SLOW,5,10mpk,A,19.60244824691468,0.01016315593859509
118160,118160_A,NR,EEG1,SLOW,5,30mpk,A,19.12351590548775,0.010450935794366385
118160,118160_A,NR,EEG1,SLOW,5,3mpk,A,19.117218288562434,0.008628701920097761
118160,118160_A,NR,EEG1,SLOW,5,Baseline,A,19.27503039000306,0.009683242767489825
118160,118160_A,NR,EEG1,SLOW,5,Vehicle,A,19.63535053585878,0.010961104189304682
118160,118160_A,NR,EEG1,SLOW,6,10mpk,A,18.85876460264984,0.008262117159136937
118160,118160_A,NR,EEG1,SLOW,6,30mpk,A,18.915625671242523,0.009604696858507025
118160,118160_A,NR,EEG1,SLOW,6,3mpk,A,19.419021076307022,0.00874683112632035
118160,118160_A,NR,EEG1,SLOW,6,Baseline,A,18.78860177663389,0.008083484582982912
118160,118160_A,NR,EEG1,SLOW,6,Vehicle,A,19.634907962117385,0.00945491703981156
118160,118160_A,NR,EEG1,THETA,1,10mpk,A,35.28193197091885,0.3626982215665486
118160,118160_A,NR,EEG1,THETA,1,30mpk,A,34.46663236895156,0.3615346549317545
118160,118160_A,NR,EEG1,THETA,1,3mpk,A,35.03523752041257,0.33793616413681987
118160,118160_A,NR,EEG1,THETA,1,Baseline,A,34.63831692625784,0.30245990347457047
118160,118160_A,NR,EEG1,THETA,1,Vehicle,A,35.576557299205554,0.3931922002348282
118160,118160_A,NR,EEG1,THETA,2,10mpk,A,35.54458158986753,0.3408377763572123
118160,118160_A,NR,EEG1,THETA,2,30mpk,A,34.810240270331114,0.33324346332766397
118160,118160_A,NR,EEG1,THETA,2,3mpk,A,34.974204680830134,0.3317575931163277
118160,118160_A,NR,EEG1,THETA,2,Baseline,A,34.90740028651653,0.32477118218342965
118160,118160_A,NR,EEG1,THETA,2,Vehicle,A,35.87950865166738,0.33288026169343565
118160,118160_A,NR,EEG1,THETA,3,10mpk,A,35.36044727895693,0.3426702842621106
118160,118160_A,NR,EEG1,THETA,3,30mpk,A,34.66762337083268,0.3276103701708983
118160,118160_A,NR,EEG1,THETA,3,3mpk,A,35.02796614043057,0.330678793880265
118160,118160_A,NR,EEG1,THETA,3,Baseline,A,34.822351190289886,0.3117652813473883
118160,118160_A,NR,EEG1,THETA,3,Vehicle,A,35.344867516220795,0.32338257575583645
118160,118160_A,NR,EEG1,THETA,4,10mpk,A,35.17819520936851,0.33445897186759976
118160,118160_A,NR,EEG1,THETA,4,30mpk,A,34.44343613931049,0.32633242718735056
118160,118160_A,NR,EEG1,THETA,4,3mpk,A,34.95605711420305,0.327530905371533
